Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
"Quán bar nhỏ, không khí rất ấm áp, các bạn pha chế rất thân thiện và nhiệt tình, sẽ tư vấn loại cocktail phù hợp nếu bạn chưa biết nên uống gì..Lúc mình vào còn có đàn guitar và hát khá hay..Là địa điểm thích hợp đi cùng bạn thân, người yêu 😁",0,0,0,0,0,0
"Không gian quán rất retro đúng kiểu mình thích, tách biệt khỏi những ồn ào ngoài kia. Rất đáng để thử một lần, bạn sẽ yêu nơi này mất... ❤",0,0,0,0,0,0
"một nơi thư tuyệt vời giành cho những người muốn tìm kiếm sự yên tĩnh như mình. cocktail 🍸🍸🤤 rất ok, bartender thân thiện.",0,0,0,0,0,0
"Không gian tuyệt voi. Thuc uống ngon, không gian sang trọng ấm cúng.",0,0,0,0,0,0
"nhạc hay, rượu ngon,không gian nhẹ nhàng còn j bằng... sẽ ủng hộ dài dài..",0,0,0,0,0,0
Đã tới rồi nhưng không hài lòng service và thức uống. Vì mình đã uống nhiều quán cocktail khác nhau rồi nhé.1 lần không lần sau.Mùng 1 tết,0,0,0,0,0,0
"Quán nằm vị trí trung tâm thành phố, không gian phía trong ấm cúng, nhân viên rất nhiệt tình, đáng để tôi dày vò phải học hỏi theo rất nhiều từ anh bartender vui tánh và dễ hương.",0,0,0,0,0,0
"Đi xong về thì chỉ muốn review lại cho mọi người thôi, quán gì mà nhân viên cưng dễ sợ, nhiệt tình, cocktail uống xong muốn tan chảy, không gian ấm cúng , trời lạnh như thế này nữa chỉ muốn ngủ lại luôn v. đó. Không gian lãng mạn. Lần sau sẽ dẫn theo n.y tới luôn nè😂😂 I'm falling in love with this bar😂😂",0,0,0,0,0,0
"Không gian sang trọng thích hợp để mọi người chill, nhân viên nhiệt tình ... Cocktail cực ngon, bartender thân thiện và vui vẻ 😍",0,0,0,0,0,0
"Cocktail ngon, không gian nhẹ nhàng lãng mãn",0,0,0,0,0,0
