Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
"Rạp phim rộng rãi, ghế ngồi tương đối thoải mái,",0,0,0,0,0,0
"Rạp ổn, sạch sẽ..Giá hơi cao so với các rạp ở QN",0,0,0,0,0,0
"Rạp quá tệ, chất lượng phim bị bóp, những cảnh tối thì mờ tịt không thấy gì, kém hơn cả chất lượng phim trên web. Bắp rang thì cũ và ỉu. Số lượng phim thì ít, chắc là do ít người xem. Thà xem phim trên web còn tốt hơn ra rạp cgv tại đây. Trải nghiệm 2 lần đều như một. 2 lần là quá đủ.",0,0,0,0,0,0
"Vào đây chủ yếu là xem phim, tuy nhiên ghế xem phim hơi nhỏ, khoảng cách hàng trước và hàng sau hẹp, mn đi đi vào vào khó khăn, mỏi muốn vắt chân cũng ko dc va vào hàng trước cứ làm người khác hiểu lầm khó xử 😬 trừ điểm thêm lúc ngồi chờ cứ có máy phát tín hiệu nào đó cứ u u làm ong hết cả đầu",0,0,0,0,0,0
"Hôm qua mình ghé CGV kim cúc plaza (Quy Nhơn) để xem phim, chọn ghế couple. Tuy nhiên không hiểu rạp có “bố trí thêm” hàng ghế phía trước không mà rất chật chội, mình không thể duỗi thẳng chân ra được. Mình ngồi co chân lại rồi mà người hàng ghế phía trước hễ dựa vào là đụng luôn chân mình. Bên cạnh đó, người ngồi trên hàng ghế cũng che luôn tầm nhìn phía dưới màn ảnh rộng. Đi trải nghiệm rất không thoải mái vì co chân suốt 2 tiếng đồng hồ. Ngoài ra đèn màn hình khá là tối, xem không được thoải mái như ở Sài Gòn. Mong quản lý rạp phim xem xét điều chỉnh các vấn đề trên để khách hàng có trải nghiệm tốt hơn.",0,0,0,0,0,0
"Rạp chất lượng tốt, hình ảnh và âm thanh rất tốt, phong cách dịch vụ phục vụ tuyệt. Đánh giá 5 sao. Một trong những tạp có trải nghiệm tốt nhất cho người xem, nhiều chương trình ưu đãi rất hay. Luôn luôn tin tưởng và ủng hộ rạp.  Hy vong rạp sẽ vận hành và phát triển hơn nữa trong tương lai. Rất thích",0,0,0,0,0,0
"CGV đầu tiền tại Bình Định, quy mô khá nhỏ với 3 phòng chiếu, và âm thanh cũng chưa được tốt lắm",0,0,0,0,0,0
"Dịch sai ngữ pháp. Quảng cáo lâu làm ng xem thường hay vào muộn gây khó chịu, chắn tầm nhìn. Ý thức không ra cái gì, gác chân lên ghế người phía trước. Phim R16 R18 (điển hình Deadpool) vẫn cho U10 vào xem :) chả hiểu gắn mác làm cmj vậy? :) nhưng được cái nhân viên thân thiện.",0,0,0,0,0,0
"Trước đi mấy lần với người lớn thì nhân viên thân thiện, nay đi với bạn thì nhân viên không biết là người khác hay cùng một người mà nghĩ tụi tui nhỏ tuổi hơn rồi làm cha làm mẹ hỏi câu nào nhăn nhó nói chuyện giọng cứ kiểu muốn nhai nuốt khách hàng, 2 đứa tức ói máu gần chết mà không làm đc gì.",0,0,0,0,0,0
"Mình đi xem ở rạp bị góc ngồi xa không thấy phụ đề nên mình bỏ ra hỏi quầy giờ chiếu khác để mình mua vé ghế gần xem lại nhưng quá tuyệt vời bạn quản lý nói để đổi cho mình vé khác ở suất chiếu sau. Một cách xử lý quá tuyệt vời luôn, mình rất vui.",0,0,0,0,0,0
