Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
Giá đắt hơn so với chất lượng sản phẩm! Với tầm giá đó có thể mua được 1 cái áo có đường may tốt hơn.,0,0,0,0,0,0
Sáng nay mình ghé shop Cứ nghĩ shop có mấy hệ thống có thương hiệu khá thấy vọng khi mua đồ tại shop phục vụ kém thái độ ra mặt mọi người cẩn thận vô phải mua chứ ko mua coi chừng bị chưởi nha nói chung đồ ko đẹp mà thái độ phục vụ còn tệ hơn,0,0,0,0,0,0
"hàng kém chất lượng, nhân viên thì hổn láo, thái độ rất tệ mọi người nên né shop này ra",0,0,0,0,0,0
"Nhân viên thái độ lồi lỏm. Hàng nhiều quá thì thuê nhân viên thêm nha. Chứ đừng bảo với khách là "" Shop sắp chết rồi nha"".",0,0,0,0,0,0
Shop toàn tạo nick giả đánh giá 5 sao thôi.Hàng kém chắc lượng giá cả cao,0,0,0,0,0,0
"Đồ đẹp giống như hình, shop bán nhiều loại trong đó thế mạnh là hàng thu đông. Áo khoác dạ ở shop rất đẹp, hoạ tiết dễ thương. Mình đã mua được nhiều mẫu áo khoác dạ cùng phụ kiện mũ len, bao tay, giày đi tuyết cho chuyến du lịch nước ngoài.",0,0,0,0,0,0
Mình không biết mọi người mua hàng thế nào nhưng mình mua vừa đắt mà lại không đẹp nữa.Đã trả hàng cho shop mà mãi vẫn chưa nhận được tiền hoàn.Shop phản hồi chậm,0,0,0,0,0,0
"Sakura luôn là lựa chọn đầu tiên mỗi khi mình muốn mua đồ đông đi du lịch. Shop rất đa dạng mẫu mã từ áo len, áo khoác dạ, áo khoác phao... mẫu nào cũng đẹp, chất vải dày dặn. Sẽ luôn ủng hộ shop.",0,0,0,0,0,0
"2 người chị mình bắt grab đến shop, 1 người thì đang bụng mang dạ chửa cũng ráng ngồi xe 1 tiếng đến mua đồ vậy mà gần tới thì nv nhắn tin bảo đói bụng quá đóng cửa sớm để đi ăn, gọi điện thoại để năn nỉ chờ thêm 5p thì không thèm bắt máy. Đến nơi đứng 10p thì chị mình bầu bì nặng nề không chịu nổi nên bắt xe về, về dc 1 đoạn thì nv nhắn tin lại bảo ăn xong rồi chị tới đi. Trời đất ơi, đi mua hàng mà làm như đi xin tiền, đi nhận từ thiện, làm việc thì làm ơn có tâm xíu thì mới phát triển được, bán hàng kiểu văn nghệ kiểu này thì có lần đầu không có lần sau. Mn mua online thế nào thì mình không dám nói, nhưng ai tính đến tận shop thì cẩn thận nhé, kiểu mất công mất sức còn ôm cục tức vào người",0,0,0,0,0,0
"Giá cả cao, hàng kém chất lượng không như quảng cáo. Thái độ nhân viên rất kém",0,0,0,0,0,0
"Mình đã mua 2 áo khoác và 1 áo hoodie của shop - hài lòng với mẫu mã, đường may, và chất liệu áo - giá cả hợp lý so với chất lượng - anh chủ nhiệt tình, vui vẻ :) Sẽ tiếp tục ủng hộ shop khi có nhu cầu",0,0,0,0,0,0
"Vị trí shop hơi khó tìm, nhưng anh chủ khá nhiệt tình..Đồ nhiều mẫu đẹp và giá cũng hợp lý. Mình có mua cho bạn 1 áo khoác ở đây gần 1 năm.. đến giờ áo vẫn đẹp và rất trendy.",0,0,0,0,0,0
"Shop có nhiều mẫu áo khoác thu đông đẹp, nhiều mẫu áo khoác dạ, áo khoác kaki thu đông dễ thương phù hợp với tuổi teen. Mình hay đi du lịch nên thường mua đồ đông, nên 1 năm lại ghé shop vài lần. Tuy nhiên đồ mùa hè của shop còn hạn chế,  mong shop nhập thêm váy đầm,  áo thun... phù hợp thời tiết sài gòn.",0,0,0,0,0,0
"Áo khoác ở shop rất đẹp, đặc biệt là áo khoác thu đông rất nhiều mẫu mã dễ thương phù hợp với tuổi teen. Áo hoodie ở shop cũng đẹp và chất.",0,0,0,0,0,0
"Sakurafashion.vn shop thời trang phong cách Nhật Bản hàng đầu Việt Nam. Uy tín, chất lượng, chuyên nghiệp, giá tốt nhất. Quần áo Mori girl style,",0,0,0,0,0,0
"Shop toàn làm nick giả đánh giá cho shop 5 sao không thôi ko có cái nào là thật hết,tôi đặt cái áo của shop online về giá thì cắt cổ,chất lượng như hàng ngoài chợ,mới mang được vài tuần bị sờn rách chỉ,điện thoại nói chuyện thì thằng chủ không nhấc máy nhắn tin ko trả lời,nếu google có âm sao tôi cũng cho shop này để họ hành xử văn minh hơn",0,0,0,0,0,0
"hàng kém chất lượng, nhân viên thì hổn láo, thái độ không tốt",0,0,0,0,0,0
"Nhân viên  gửi xác nhận đơn hàng nhưng mình không nhận được, mình yêu cầu gửi lại thì bạn nhân viên bảo "" vậy thì hủy đơn hàng"" rồi cúp máy, mình gọi lại thì nhận được hộp thư thoại, thật lạ?",0,0,0,0,0,0
"hàng đẹp, đúng như hình, chất vải đẹp khỏi chê, ủng hộ shop dài dài",0,0,0,0,0,0
"Mình thường mua online ở sakurafashion, shop rất uy tín, tư vấn chân thật, hàng giống hình, nhãn mác trên hình cũng giống sản phẩm ở ngoài.",0,0,0,0,0,0
"Mình đã mua 2 áo len đi du lịch nước ngoài, chất vải mềm mịn.",0,0,0,0,0,0
Hàng đẹp chất lượng như hình nhưng đợi shop phản hồi lâu quá shop ơi :(((,0,0,0,0,0,0
Shop rất uy tín. Mình cảm thấy an tâm về chất lượng sp khi mua hàng ở đây.,0,0,0,0,0,0
"Vừa mua ở đây anh chủ rất vui tính dễ thương,  áo khoác đẹp.",0,0,0,0,0,0
"Mình mua một áo khoác, hai nón len, một khăn choàng đồ đi du lịch đà lạt",0,0,0,0,0,0
"Hàng đẹp, áo bao dễ thương, anh chủ nhiệt tình :v",0,0,0,0,0,0
"Quần áo ""so kawaii"" 😄. Đặt hàng online là chuẩn nhất.",0,0,0,0,0,0
Mình đã chọn được áo khoác ưng ý cho chuyến du lịch sapa.,0,0,0,0,0,0
